Category: All categories

Week,S&P 500 Index: (United States)
2013-06-16,15
2013-06-23,15
2013-06-30,12
2013-07-07,15
2013-07-14,14
2013-07-21,14
2013-07-28,14
2013-08-04,14
2013-08-11,13
2013-08-18,14
2013-08-25,12
2013-09-01,11
2013-09-08,14
2013-09-15,15
2013-09-22,14
2013-09-29,15
2013-10-06,17
2013-10-13,18
2013-10-20,16
2013-10-27,15
2013-11-03,15
2013-11-10,15
2013-11-17,15
2013-11-24,12
2013-12-01,13
2013-12-08,14
2013-12-15,14
2013-12-22,13
2013-12-29,15
2014-01-05,13
2014-01-12,16
2014-01-19,15
2014-01-26,19
2014-02-02,19
2014-02-09,17
2014-02-16,15
2014-02-23,18
2014-03-02,18
2014-03-09,17
2014-03-16,15
2014-03-23,14
2014-03-30,17
2014-04-06,18
2014-04-13,16
2014-04-20,16
2014-04-27,14
2014-05-04,14
2014-05-11,16
2014-05-18,15
2014-05-25,13
2014-06-01,16
2014-06-08,15
2014-06-15,15
2014-06-22,15
2014-06-29,16
2014-07-06,15
2014-07-13,15
2014-07-20,15
2014-07-27,19
2014-08-03,19
2014-08-10,17
2014-08-17,18
2014-08-24,19
2014-08-31,15
2014-09-07,16
2014-09-14,17
2014-09-21,17
2014-09-28,19
2014-10-05,21
2014-10-12,31
2014-10-19,24
2014-10-26,22
2014-11-02,21
2014-11-09,21
2014-11-16,20
2014-11-23,17
2014-11-30,19
2014-12-07,20
2014-12-14,25
2014-12-21,18
2014-12-28,18
2015-01-04,26
2015-01-11,24
2015-01-18,19
2015-01-25,23
2015-02-01,23
2015-02-08,20
2015-02-15,20
2015-02-22,19
2015-03-01,21
2015-03-08,20
2015-03-15,21
2015-03-22,21
2015-03-29,20
2015-04-05,19
2015-04-12,20
2015-04-19,22
2015-04-26,19
2015-05-03,19
2015-05-10,19
2015-05-17,18
2015-05-24,16
2015-05-31,18
2015-06-07,19
2015-06-14,18
2015-06-21,19
2015-06-28,25
2015-07-05,27
2015-07-12,22
2015-07-19,22
2015-07-26,22
2015-08-02,20
2015-08-09,21
2015-08-16,28
2015-08-23,66
2015-08-30,37
2015-09-06,26
2015-09-13,25
2015-09-20,24
2015-09-27,29
2015-10-04,27
2015-10-11,26
2015-10-18,25
2015-10-25,24
2015-11-01,23
2015-11-08,22
2015-11-15,22
2015-11-22,15
2015-11-29,22
2015-12-06,21
2015-12-13,24
2015-12-20,19
2015-12-27,20
2016-01-03,37
2016-01-10,41
2016-01-17,41
2016-01-24,33
2016-01-31,33
2016-02-07,34
2016-02-14,29
2016-02-21,31
2016-02-28,30
2016-03-06,29
2016-03-13,29
2016-03-20,25
2016-03-27,26
2016-04-03,26
2016-04-10,27
2016-04-17,26
2016-04-24,25
2016-05-01,26
2016-05-08,22
2016-05-15,24
2016-05-22,25
2016-05-29,20
2016-06-05,25
2016-06-12,24
2016-06-19,39
2016-06-26,44
2016-07-03,26
2016-07-10,34
2016-07-17,27
2016-07-24,25
2016-07-31,25
2016-08-07,24
2016-08-14,22
2016-08-21,23
2016-08-28,22
2016-09-04,20
2016-09-11,26
2016-09-18,23
2016-09-25,22
2016-10-02,21
2016-10-09,22
2016-10-16,21
2016-10-23,21
2016-10-30,25
2016-11-06,55
2016-11-13,26
2016-11-20,21
2016-11-27,24
2016-12-04,28
2016-12-11,27
2016-12-18,22
2016-12-25,19
2017-01-01,25
2017-01-08,24
2017-01-15,23
2017-01-22,29
2017-01-29,30
2017-02-05,26
2017-02-12,29
2017-02-19,25
2017-02-26,31
2017-03-05,30
2017-03-12,26
2017-03-19,29
2017-03-26,29
2017-04-02,26
2017-04-09,25
2017-04-16,26
2017-04-23,29
2017-04-30,26
2017-05-07,27
2017-05-14,30
2017-05-21,27
2017-05-28,23
2017-06-04,28
2017-06-11,26
2017-06-18,25
2017-06-25,25
2017-07-02,23
2017-07-09,27
2017-07-16,27
2017-07-23,28
2017-07-30,29
2017-08-06,30
2017-08-13,31
2017-08-20,25
2017-08-27,26
2017-09-03,21
2017-09-10,26
2017-09-17,28
2017-09-24,26
2017-10-01,27
2017-10-08,26
2017-10-15,28
2017-10-22,31
2017-10-29,26
2017-11-05,26
2017-11-12,27
2017-11-19,22
2017-11-26,32
2017-12-03,32
2017-12-10,30
2017-12-17,32
2017-12-24,25
2017-12-31,34
2018-01-07,36
2018-01-14,36
2018-01-21,40
2018-01-28,48
2018-02-04,100
2018-02-11,55
2018-02-18,39
2018-02-25,49
2018-03-04,44
2018-03-11,36
2018-03-18,46
2018-03-25,45
2018-04-01,52
2018-04-08,43
2018-04-15,37
2018-04-22,39
2018-04-29,35
2018-05-06,34
2018-05-13,32
2018-05-20,32
2018-05-27,30
2018-06-03,35
2018-06-10,27
