Category: All categories

Week,debt: (United States)
2013-06-16,29
2013-06-23,29
2013-06-30,26
2013-07-07,31
2013-07-14,32
2013-07-21,31
2013-07-28,30
2013-08-04,32
2013-08-11,31
2013-08-18,31
2013-08-25,30
2013-09-01,30
2013-09-08,34
2013-09-15,38
2013-09-22,42
2013-09-29,63
2013-10-06,84
2013-10-13,100
2013-10-20,42
2013-10-27,38
2013-11-03,37
2013-11-10,36
2013-11-17,35
2013-11-24,28
2013-12-01,34
2013-12-08,34
2013-12-15,29
2013-12-22,23
2013-12-29,28
2014-01-05,32
2014-01-12,35
2014-01-19,34
2014-01-26,39
2014-02-02,40
2014-02-09,44
2014-02-16,39
2014-02-23,40
2014-03-02,36
2014-03-09,36
2014-03-16,35
2014-03-23,37
2014-03-30,36
2014-04-06,39
2014-04-13,36
2014-04-20,37
2014-04-27,36
2014-05-04,35
2014-05-11,33
2014-05-18,34
2014-05-25,30
2014-06-01,31
2014-06-08,35
2014-06-15,30
2014-06-22,31
2014-06-29,29
2014-07-06,34
2014-07-13,33
2014-07-20,35
2014-07-27,34
2014-08-03,33
2014-08-10,31
2014-08-17,31
2014-08-24,30
2014-08-31,29
2014-09-07,34
2014-09-14,35
2014-09-21,34
2014-09-28,35
2014-10-05,32
2014-10-12,35
2014-10-19,34
2014-10-26,34
2014-11-02,36
2014-11-09,36
2014-11-16,36
2014-11-23,26
2014-11-30,39
2014-12-07,36
2014-12-14,32
2014-12-21,21
2014-12-28,26
2015-01-04,32
2015-01-11,34
2015-01-18,36
2015-01-25,40
2015-02-01,38
2015-02-08,37
2015-02-15,35
2015-02-22,38
2015-03-01,36
2015-03-08,36
2015-03-15,35
2015-03-22,37
2015-03-29,33
2015-04-05,33
2015-04-12,38
2015-04-19,37
2015-04-26,36
2015-05-03,34
2015-05-10,34
2015-05-17,34
2015-05-24,30
2015-05-31,33
2015-06-07,32
2015-06-14,33
2015-06-21,34
2015-06-28,49
2015-07-05,49
2015-07-12,40
2015-07-19,37
2015-07-26,34
2015-08-02,36
2015-08-09,36
2015-08-16,35
2015-08-23,36
2015-08-30,34
2015-09-06,33
2015-09-13,38
2015-09-20,39
2015-09-27,36
2015-10-04,39
2015-10-11,38
2015-10-18,38
2015-10-25,43
2015-11-01,40
2015-11-08,38
2015-11-15,37
2015-11-22,26
2015-11-29,36
2015-12-06,36
2015-12-13,34
2015-12-20,24
2015-12-27,28
2016-01-03,38
2016-01-10,41
2016-01-17,36
2016-01-24,42
2016-01-31,46
2016-02-07,44
2016-02-14,88
2016-02-21,56
2016-02-28,46
2016-03-06,45
2016-03-13,40
2016-03-20,39
2016-03-27,40
2016-04-03,44
2016-04-10,45
2016-04-17,44
2016-04-24,43
2016-05-01,44
2016-05-08,45
2016-05-15,41
2016-05-22,36
2016-05-29,31
2016-06-05,45
2016-06-12,34
2016-06-19,38
2016-06-26,35
2016-07-03,32
2016-07-10,35
2016-07-17,38
2016-07-24,42
2016-07-31,37
2016-08-07,34
2016-08-14,34
2016-08-21,36
2016-08-28,35
2016-09-04,36
2016-09-11,40
2016-09-18,37
2016-09-25,44
2016-10-02,40
2016-10-09,41
2016-10-16,48
2016-10-23,40
2016-10-30,42
2016-11-06,49
2016-11-13,45
2016-11-20,33
2016-11-27,43
2016-12-04,43
2016-12-11,38
2016-12-18,29
2016-12-25,28
2017-01-01,36
2017-01-08,43
2017-01-15,48
2017-01-22,48
2017-01-29,46
2017-02-05,42
2017-02-12,42
2017-02-19,47
2017-02-26,51
2017-03-05,44
2017-03-12,42
2017-03-19,41
2017-03-26,42
2017-04-02,43
2017-04-09,39
2017-04-16,42
2017-04-23,44
2017-04-30,42
2017-05-07,38
2017-05-14,37
2017-05-21,37
2017-05-28,36
2017-06-04,35
2017-06-11,34
2017-06-18,34
2017-06-25,35
2017-07-02,33
2017-07-09,37
2017-07-16,37
2017-07-23,37
2017-07-30,41
2017-08-06,36
2017-08-13,35
2017-08-20,37
2017-08-27,37
2017-09-03,39
2017-09-10,40
2017-09-17,40
2017-09-24,43
2017-10-01,41
2017-10-08,42
2017-10-15,42
2017-10-22,40
2017-10-29,40
2017-11-05,39
2017-11-12,38
2017-11-19,28
2017-11-26,43
2017-12-03,42
2017-12-10,38
2017-12-17,37
2017-12-24,30
2017-12-31,35
2018-01-07,39
2018-01-14,39
2018-01-21,42
2018-01-28,44
2018-02-04,46
2018-02-11,45
2018-02-18,41
2018-02-25,43
2018-03-04,41
2018-03-11,40
2018-03-18,42
2018-03-25,40
2018-04-01,39
2018-04-08,43
2018-04-15,44
2018-04-22,43
2018-04-29,41
2018-05-06,38
2018-05-13,35
2018-05-20,35
2018-05-27,36
2018-06-03,36
2018-06-10,34
